"data e hora","caso de teste","mensagem"
"[2021/09/26 21:29:06.634]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/09/26 21:29:08.328]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/09/26 21:29:08.684]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/09/26 21:29:08.728]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/09/26 21:29:08.837]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
"[2021/09/26 21:29:11.364]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou no botão da Lupa"
