"data e hora","caso de teste","mensagem"
"[2021/09/26 21:14:59.290]","Consultar Produto Asus Strix B550-E","Iniciou o teste"
"[2021/09/26 21:15:01.035]","Consultar Produto Asus Strix B550-E","Abriu o site"
"[2021/09/26 21:15:01.402]","Consultar Produto Asus Strix B550-E","Clicou na caixa de pesquisa"
"[2021/09/26 21:15:01.448]","Consultar Produto Asus Strix B550-E","Limpou a caixa de pesquisa"
"[2021/09/26 21:15:01.532]","Consultar Produto Asus Strix B550-E","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
