"data e hora","caso de teste","mensagem"
"[2021/09/26 21:23:20.849]","Consultar Produto Asus Strix B550-E","Iniciou o teste"
"[2021/09/26 21:23:22.837]","Consultar Produto Asus Strix B550-E","Abriu o site"
"[2021/09/26 21:23:23.213]","Consultar Produto Asus Strix B550-E","Clicou na caixa de pesquisa"
"[2021/09/26 21:23:23.256]","Consultar Produto Asus Strix B550-E","Limpou a caixa de pesquisa"
"[2021/09/26 21:23:23.371]","Consultar Produto Asus Strix B550-E","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
"[2021/09/26 21:23:26.655]","Consultar Produto Asus Strix B550-E","Clicou no botão da Lupa"
