"data e hora","caso de teste","mensagem"
"[2021/09/26 21:18:05.928]","Consultar Produto Asus Strix B550-E","Iniciou o teste"
"[2021/09/26 21:18:07.691]","Consultar Produto Asus Strix B550-E","Abriu o site"
"[2021/09/26 21:18:08.058]","Consultar Produto Asus Strix B550-E","Clicou na caixa de pesquisa"
"[2021/09/26 21:18:08.095]","Consultar Produto Asus Strix B550-E","Limpou a caixa de pesquisa"
"[2021/09/26 21:18:08.185]","Consultar Produto Asus Strix B550-E","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
"[2021/09/26 21:18:10.880]","Consultar Produto Asus Strix B550-E","Clicou no botão da Lupa"
