"data e hora","caso de teste","mensagem"
"[2021/09/26 22:05:19.750]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/09/26 22:05:21.557]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/09/26 22:05:21.926]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/09/26 22:05:21.962]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/09/26 22:05:22.072]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster"
"[2021/09/26 22:05:24.446]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou no botão da Lupa"
"[2021/09/26 22:05:24.474]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Confirmou o texto indicativo da pesquisa do produto"
