"data e hora","caso de teste","mensagem"
"[2021/09/26 21:09:46.958]","Consultar Produto Asus Strix B550-E","Iniciou o teste"
"[2021/09/26 21:09:48.626]","Consultar Produto Asus Strix B550-E","Abriu o site"
"[2021/09/26 21:09:48.990]","Consultar Produto Asus Strix B550-E","Clicou na caixa de pesquisa"
"[2021/09/26 21:09:49.027]","Consultar Produto Asus Strix B550-E","Limpou a caixa de pesquisa"
"[2021/09/26 21:09:49.113]","Consultar Produto Asus Strix B550-E","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
