"data e hora","caso de teste","mensagem"
"[2021/09/26 21:13:40.146]","Consultar Produto Asus Strix B550-E","Iniciou o teste"
"[2021/09/26 21:13:41.869]","Consultar Produto Asus Strix B550-E","Abriu o site"
"[2021/09/26 21:13:42.246]","Consultar Produto Asus Strix B550-E","Clicou na caixa de pesquisa"
"[2021/09/26 21:13:42.292]","Consultar Produto Asus Strix B550-E","Limpou a caixa de pesquisa"
"[2021/09/26 21:13:42.380]","Consultar Produto Asus Strix B550-E","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
