"data e hora","caso de teste","mensagem"
"[2021/09/26 21:22:01.902]","Consultar Produto Asus Strix B550-E","Iniciou o teste"
"[2021/09/26 21:22:03.606]","Consultar Produto Asus Strix B550-E","Abriu o site"
"[2021/09/26 21:22:03.974]","Consultar Produto Asus Strix B550-E","Clicou na caixa de pesquisa"
"[2021/09/26 21:22:04.018]","Consultar Produto Asus Strix B550-E","Limpou a caixa de pesquisa"
"[2021/09/26 21:22:04.131]","Consultar Produto Asus Strix B550-E","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
"[2021/09/26 21:22:07.901]","Consultar Produto Asus Strix B550-E","Clicou no botão da Lupa"
