"data e hora","caso de teste","mensagem"
"[2021/09/26 21:25:28.370]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/09/26 21:25:30.089]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/09/26 21:25:30.390]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/09/26 21:25:30.427]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/09/26 21:25:30.532]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
"[2021/09/26 21:25:33.193]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou no botão da Lupa"
