"data e hora","caso de teste","mensagem"
"[2021/09/26 21:26:17.325]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Iniciou o teste"
"[2021/09/26 21:26:19.046]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Abriu o site"
"[2021/09/26 21:26:19.407]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou na caixa de pesquisa"
"[2021/09/26 21:26:19.446]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Limpou a caixa de pesquisa"
"[2021/09/26 21:26:19.557]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
"[2021/09/26 21:26:22.222]","Consultar Produto Cafeteira Expresso Prima Latte II, Vermelho, 110v, Oster","Clicou no botão da Lupa"
