"data e hora","caso de teste","mensagem"
"[2021/09/26 21:19:50.010]","Consultar Produto Asus Strix B550-E","Iniciou o teste"
"[2021/09/26 21:19:51.952]","Consultar Produto Asus Strix B550-E","Abriu o site"
"[2021/09/26 21:19:52.329]","Consultar Produto Asus Strix B550-E","Clicou na caixa de pesquisa"
"[2021/09/26 21:19:52.369]","Consultar Produto Asus Strix B550-E","Limpou a caixa de pesquisa"
"[2021/09/26 21:19:52.477]","Consultar Produto Asus Strix B550-E","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
"[2021/09/26 21:19:55.476]","Consultar Produto Asus Strix B550-E","Clicou no botão da Lupa"
