"data e hora","caso de teste","mensagem"
"[2021/09/26 21:16:32.779]","Consultar Produto Asus Strix B550-E","Iniciou o teste"
"[2021/09/26 21:16:33.043]","Consultar Produto Asus Strix B550-E","Abriu o site"
"[2021/09/26 21:16:39.393]","Consultar Produto Asus Strix B550-E","Clicou na caixa de pesquisa"
"[2021/09/26 21:16:39.459]","Consultar Produto Asus Strix B550-E","Limpou a caixa de pesquisa"
"[2021/09/26 21:16:39.533]","Consultar Produto Asus Strix B550-E","Escreveu asus strix b550-e gaming amd na caixa de pesquisa"
"[2021/09/26 21:16:42.009]","Consultar Produto Asus Strix B550-E","Clicou no botão da Lupa"
